year,source_pdf,question_id,question_text,option_code,option_text
103,ques103.pdf,F1,請問目前與您住在一起共同生活的【包括自己且不限原住民族】有幾個人？__________人,,
103,ques103.pdf,F1-1,其中原住民族有幾位？__________人,,
103,ques103.pdf,F1-1-1,6歲以下的原住民族有幾位？__________人,,
103,ques103.pdf,F1-1-2,7-15歲的原住民族有幾位？__________人 加總應等於 F1-1,,
103,ques103.pdf,F1-1-3,16-54歲的原住民族有幾位？__________人 若無該年齡層家人 請填 0,,
103,ques103.pdf,F1-1-4,55-64歲的原住民族有幾位？__________人,,
103,ques103.pdf,F1-1-5,65歲以上的原住民族有幾位？__________人,,
103,ques103.pdf,F2,請問您的配偶屬於以下那種身分？,1.0,原住民族續答F2-1
103,ques103.pdf,F2,請問您的配偶屬於以下那種身分？,2.0,漢族跳答F3
103,ques103.pdf,F2,請問您的配偶屬於以下那種身分？,3.0,外國人(國籍：___________) 跳答F3
103,ques103.pdf,F2,請問您的配偶屬於以下那種身分？,4.0,無配偶跳答F3
103,ques103.pdf,F2,請問您的配偶屬於以下那種身分？,5.0,其他________跳答 F3
103,ques103.pdf,F2-1,請問您的先生/太太所屬的族別？,1.0,阿美族
103,ques103.pdf,F2-1,請問您的先生/太太所屬的族別？,2.0,泰雅族
103,ques103.pdf,F2-1,請問您的先生/太太所屬的族別？,3.0,排灣族
103,ques103.pdf,F2-1,請問您的先生/太太所屬的族別？,4.0,魯凱族
103,ques103.pdf,F2-1,請問您的先生/太太所屬的族別？,5.0,布農族
103,ques103.pdf,F2-1,請問您的先生/太太所屬的族別？,6.0,賽夏族
103,ques103.pdf,F2-1,請問您的先生/太太所屬的族別？,7.0,雅美族(達悟)
103,ques103.pdf,F2-1,請問您的先生/太太所屬的族別？,8.0,卑南族
103,ques103.pdf,F2-1,請問您的先生/太太所屬的族別？,9.0,鄒族
103,ques103.pdf,F2-1,請問您的先生/太太所屬的族別？,10.0,邵族
103,ques103.pdf,F2-1,請問您的先生/太太所屬的族別？,11.0,噶瑪蘭族
103,ques103.pdf,F2-1,請問您的先生/太太所屬的族別？,12.0,太魯閣族
103,ques103.pdf,F2-1,請問您的先生/太太所屬的族別？,13.0,撒奇萊雅族
103,ques103.pdf,F2-1,請問您的先生/太太所屬的族別？,14.0,賽德克族
103,ques103.pdf,F2-1,請問您的先生/太太所屬的族別？,15.0,拉阿魯哇族
103,ques103.pdf,F2-1,請問您的先生/太太所屬的族別？,16.0,卡那卡那富族
103,ques103.pdf,F2-1,請問您的先生/太太所屬的族別？,15.0,其他_______
103,ques103.pdf,F3,請問您家庭的主要經濟來源是什麼？(可複選，超過總收入五分之一者皆算入主要經濟來源),1.0,所得
103,ques103.pdf,F3,請問您家庭的主要經濟來源是什麼？(可複選，超過總收入五分之一者皆算入主要經濟來源),2.0,兄弟姊妹提供
103,ques103.pdf,F3,請問您家庭的主要經濟來源是什麼？(可複選，超過總收入五分之一者皆算入主要經濟來源),3.0,政府補助
103,ques103.pdf,F3,請問您家庭的主要經濟來源是什麼？(可複選，超過總收入五分之一者皆算入主要經濟來源),4.0,社會捐助
103,ques103.pdf,F3,請問您家庭的主要經濟來源是什麼？(可複選，超過總收入五分之一者皆算入主要經濟來源),5.0,父母提供
103,ques103.pdf,F3,請問您家庭的主要經濟來源是什麼？(可複選，超過總收入五分之一者皆算入主要經濟來源),6.0,婆家或岳父母提供
103,ques103.pdf,F3,請問您家庭的主要經濟來源是什麼？(可複選，超過總收入五分之一者皆算入主要經濟來源),7.0,親戚朋友提供
103,ques103.pdf,F3,請問您家庭的主要經濟來源是什麼？(可複選，超過總收入五分之一者皆算入主要經濟來源),8.0,子女提供
103,ques103.pdf,F3,請問您家庭的主要經濟來源是什麼？(可複選，超過總收入五分之一者皆算入主要經濟來源),9.0,其他，請說明_______________ 附1-1 G 部分：住宅與貸款
103,ques103.pdf,G1,請問您現在住的房子是屬於誰的？,1.0,自己(其他家人)的/自己搭建跳答G3
103,ques103.pdf,G1,請問您現在住的房子是屬於誰的？,2.0,向政府租賃(如:社會住宅) 續問 G2
103,ques103.pdf,G1,請問您現在住的房子是屬於誰的？,3.0,向私人租賃續問G2
103,ques103.pdf,G1,請問您現在住的房子是屬於誰的？,4.0,單位/公司配住續問G2
103,ques103.pdf,G1,請問您現在住的房子是屬於誰的？,5.0,借用跳答G6
103,ques103.pdf,G1,請問您現在住的房子是屬於誰的？,6.0,其他，請說明__________ 跳答 G6
103,ques103.pdf,G2,若房子為租賃者（G1回答2、3、4者），請問您每個月的房屋租金是多少？ 回答完跳答G6,1.0,999 元及以下
103,ques103.pdf,G2,若房子為租賃者（G1回答2、3、4者），請問您每個月的房屋租金是多少？ 回答完跳答G6,2.0,"1,000-2,999"
103,ques103.pdf,G2,若房子為租賃者（G1回答2、3、4者），請問您每個月的房屋租金是多少？ 回答完跳答G6,3.0,"3,000-4,999 元"
103,ques103.pdf,G2,若房子為租賃者（G1回答2、3、4者），請問您每個月的房屋租金是多少？ 回答完跳答G6,4.0,"5,000-5,999 元"
103,ques103.pdf,G2,若房子為租賃者（G1回答2、3、4者），請問您每個月的房屋租金是多少？ 回答完跳答G6,5.0,"6,000-6,999 元"
103,ques103.pdf,G2,若房子為租賃者（G1回答2、3、4者），請問您每個月的房屋租金是多少？ 回答完跳答G6,6.0,"7,000-7,999 元"
103,ques103.pdf,G2,若房子為租賃者（G1回答2、3、4者），請問您每個月的房屋租金是多少？ 回答完跳答G6,7.0,"8,000-8,999 元"
103,ques103.pdf,G2,若房子為租賃者（G1回答2、3、4者），請問您每個月的房屋租金是多少？ 回答完跳答G6,8.0,"9,000-9,999 元"
103,ques103.pdf,G2,若房子為租賃者（G1回答2、3、4者），請問您每個月的房屋租金是多少？ 回答完跳答G6,9.0,"10,000-14,999 元"
103,ques103.pdf,G2,若房子為租賃者（G1回答2、3、4者），請問您每個月的房屋租金是多少？ 回答完跳答G6,10.0,"15,000-19,999 元"
103,ques103.pdf,G2,若房子為租賃者（G1回答2、3、4者），請問您每個月的房屋租金是多少？ 回答完跳答G6,11.0,"20,000 元及以上，請記錄_________元"
103,ques103.pdf,G2,若房子為租賃者（G1回答2、3、4者），請問您每個月的房屋租金是多少？ 回答完跳答G6,12.0,不需要支付租金
103,ques103.pdf,G3,請問您現在住的房子是什麼時候購買/搭建的？ 民國___________年,,
103,ques103.pdf,G4,請問您現在住的房子樓地板面積是多少？ ___________坪,,
103,ques103.pdf,G5,請問您現在住的房子當初購買/搭建共花了多少錢？,1.0,未滿50
103,ques103.pdf,G5,請問您現在住的房子當初購買/搭建共花了多少錢？,2.0,50 萬元-未滿100萬元
103,ques103.pdf,G5,請問您現在住的房子當初購買/搭建共花了多少錢？,3.0,100 萬元-未滿 150
103,ques103.pdf,G5,請問您現在住的房子當初購買/搭建共花了多少錢？,4.0,150 萬元-未滿200萬元
103,ques103.pdf,G5,請問您現在住的房子當初購買/搭建共花了多少錢？,5.0,200 萬元-未滿300萬元
103,ques103.pdf,G5,請問您現在住的房子當初購買/搭建共花了多少錢？,6.0,300 萬元-未滿 400
103,ques103.pdf,G5,請問您現在住的房子當初購買/搭建共花了多少錢？,7.0,400 萬元-未滿500萬元
103,ques103.pdf,G5,請問您現在住的房子當初購買/搭建共花了多少錢？,8.0,500 萬元-未滿600萬元
103,ques103.pdf,G5,請問您現在住的房子當初購買/搭建共花了多少錢？,9.0,600 萬元-未滿700
103,ques103.pdf,G5,請問您現在住的房子當初購買/搭建共花了多少錢？,10.0,700 萬元-未滿800 萬元
103,ques103.pdf,G5,請問您現在住的房子當初購買/搭建共花了多少錢？,11.0,800 萬元-未滿900 萬元
103,ques103.pdf,G5,請問您現在住的房子當初購買/搭建共花了多少錢？,12.0,"900 萬元-未滿1,000 萬元"
103,ques103.pdf,G5,請問您現在住的房子當初購買/搭建共花了多少錢？,13.0,"1,000 萬元及以上，請記錄______________萬元"
103,ques103.pdf,G6,請問您們家目前有沒有房屋貸款？,1.0,有
103,ques103.pdf,G6,請問您們家目前有沒有房屋貸款？,2.0,沒有跳答G7
103,ques103.pdf,G6-1,請問您家中目前的房屋貸款總共借（貸）了多少錢？,1.0,未滿50
103,ques103.pdf,G6-1,請問您家中目前的房屋貸款總共借（貸）了多少錢？,2.0,50 萬元-未滿100萬元
103,ques103.pdf,G6-1,請問您家中目前的房屋貸款總共借（貸）了多少錢？,3.0,100 萬元-未滿150
