variable,103_present,106_present,106-_present,91-1_label,91-1_type,91-1_present,91-2_label,91-2_type,91-2_present,95_present,99_present,95_label,95_type,103_label,103_type,106_label,106_type,106-_label,106-_type,99_label,99_type,years_count
level,1,1,1,行政區域分層,haven_labelled,1,行政區域分層,haven_labelled,1,1,1,行政區域分層,haven_labelled,層別,haven_labelled,層別,haven_labelled,層別,haven_labelled,層別,haven_labelled,7
j1,1,1,1,,,0,,,0,0,1,,,J1.請問您全家每個月用在支付「買菜、水果、非酒精飲料費、零食等」的費用是多少?【過去,haven_labelled,J1.經濟戶長個人每個月「工作薪水、兼差薪水、加班費、退休金、年終獎金，以及從事農林,haven_labelled,J1.經濟戶長個人每個月「工作薪水、兼差薪水、加班費、退休金、年終獎金，以及從事農林,haven_labelled,J1.請問您全家每個月用在支付「吃飯、蔬菜魚肉、水果、飲料費等」的費用是多少？【過去,haven_labelled,4
county,0,0,0,縣市鄉鎮市區,haven_labelled,1,縣市鄉鎮市區,haven_labelled,1,1,1,縣市鄉鎮市區,haven_labelled,,,,,,,縣市代碼,haven_labelled,4
j6,1,1,1,,,0,,,0,0,1,,,J6.請問您全家每個月用在支付「繳各種稅、勞健保、農漁保險、買彩券、紅白包禮金、捐款,haven_labelled,J6.除了以上這些收入以外，經濟戶長個人每個月「其他雜項」收入總共是多少?【過去一年平,haven_labelled,J6.除了以上這些收入以外，經濟戶長個人每個月「其他雜項」收入總共是多少?【過去一年平,haven_labelled,J6.請問您全家每個月用在支付「繳各種稅、勞健保、農漁保險、紅白包禮金、捐款」的費用,haven_labelled,4
l2,1,1,1,,,0,,,0,0,1,,,L2.請問您知不知道原住民族委員會有「專案貸款」的業務?,haven_labelled,L2.除了經濟戶長本人以外，這些有固定收入的家人中，具有原住民身分者有幾位?,haven_labelled,L2.除了經濟戶長本人以外，這些有固定收入的家人中，具有原住民身分者有幾位?,haven_labelled,L2.請問您知不知道「原住民綜合發展基金貸款」？,haven_labelled,4
j5,1,1,1,,,0,,,0,0,1,,,J5.請問您全家每個月用在支付「抽煙、飲酒、吃檳榔等」的費用是多少?【過去ㄧ年平均每個,haven_labelled,J5.經濟戶長個人每個月的「房屋、土地出租租金」收入總共是多少?【過去一年平均每個月的,haven_labelled,J5.經濟戶長個人每個月的「房屋、土地出租租金」收入總共是多少?【過去一年平均每個月的,haven_labelled,J5.請問您全家每個月用在支付「抽煙、飲酒、吃檳榔等」的費用是多少？【過去ㄧ年平均每,haven_labelled,4
i4,1,1,1,,,0,,,0,0,1,,,I4.包含您本人，全家每個月接受「政府發給津貼、補助、各種社會保險、私人保險」總收入,haven_labelled,I4.除了消費性貸款、創業貸款、私人借貸，經濟戶長有沒有其他貸款?,haven_labelled,I4.除了消費性貸款、創業貸款、私人借貸，經濟戶長有沒有其他貸款?,haven_labelled,I4.包含您本人，全家每個月的「利息、股票買賣、跟會標會、各種投資」總收入是多少？【,haven_labelled,4
g1,1,1,1,,,0,,,0,0,1,,,G1.請問您現在住的房子是屬於誰的?,haven_labelled,G1.經濟戶長性別?,haven_labelled,G1.經濟戶長性別?,haven_labelled,G1.請問您現在住的房子是屬於誰的？,haven_labelled,4
i2,1,1,1,,,0,,,0,0,1,,,I2.除了您本人以外，家裡有沒有「其他具有原住民身分的家人」有固定收入?,haven_labelled,I2.經濟戶長有沒有創業貸款?,haven_labelled,I2.經濟戶長有沒有創業貸款?,haven_labelled,I2.包含您本人，全家每個月的「工作薪水、兼差薪水、加班費、退休金，或是從事農林漁牧,haven_labelled,4
g5,1,1,1,,,0,,,0,0,1,,,G5.請問您現在住的房子當初購買/搭建共花了多少錢?,haven_labelled,G5.經濟戶長所屬的族別?,haven_labelled,G5.經濟戶長所屬的族別?,haven_labelled,G5.請問您個人有沒有申請創業貸款？,haven_labelled,4
