source_file,concept_id,category,integrated_var,concept,mapping_type,data_year,option_year,raw_var,matched_question_id,raw_option_order,raw_option_code,raw_option_text,unified_code,unified_label,mapping_rule,question_text,option_source_file,concept_note,row_note
01-01-make-city-data.R,DEM001,基本資料,MALE,性別/戶長性別/經濟戶長性別,coarse_comparable,2002,91_1,q1,1,1,1,男,1,男性,男/男性 -> 1,性別,question_options_91_1.csv,91/95 為受訪者性別；99 sex；103 gender=戶長性別；106/110 是經濟戶長性別，母體對象略有差異。,
01-01-make-city-data.R,DEM001,基本資料,MALE,性別/戶長性別/經濟戶長性別,coarse_comparable,2002,91_1,q1,1,2,2,女,0,女性,女/女性 -> 0，沿用 01-01 R 的 MALE 編碼,性別,question_options_91_1.csv,91/95 為受訪者性別；99 sex；103 gender=戶長性別；106/110 是經濟戶長性別，母體對象略有差異。,
01-01-make-city-data.R,DEM001,基本資料,MALE,性別/戶長性別/經濟戶長性別,coarse_comparable,2002,91_2,q1,1,1,1,男,1,男性,男/男性 -> 1,性別,question_options_91_2.csv,91/95 為受訪者性別；99 sex；103 gender=戶長性別；106/110 是經濟戶長性別，母體對象略有差異。,
01-01-make-city-data.R,DEM001,基本資料,MALE,性別/戶長性別/經濟戶長性別,coarse_comparable,2002,91_2,q1,1,2,2,女,0,女性,女/女性 -> 0，沿用 01-01 R 的 MALE 編碼,性別,question_options_91_2.csv,91/95 為受訪者性別；99 sex；103 gender=戶長性別；106/110 是經濟戶長性別，母體對象略有差異。,
01-01-make-city-data.R,DEM001,基本資料,MALE,性別/戶長性別/經濟戶長性別,coarse_comparable,2006,95,c10,C10,1,1,男性,1,男性,男/男性 -> 1,性別,question_options_95.csv,91/95 為受訪者性別；99 sex；103 gender=戶長性別；106/110 是經濟戶長性別，母體對象略有差異。,
01-01-make-city-data.R,DEM001,基本資料,MALE,性別/戶長性別/經濟戶長性別,coarse_comparable,2006,95,c10,C10,2,2,女性 謝謝您接受我們的訪問，祝您有愉快的ㄧ天！ 14,0,女性,女/女性 -> 0，沿用 01-01 R 的 MALE 編碼,性別,question_options_95.csv,91/95 為受訪者性別；99 sex；103 gender=戶長性別；106/110 是經濟戶長性別，母體對象略有差異。,
01-01-make-city-data.R,DEM001,基本資料,MALE,性別/戶長性別/經濟戶長性別,coarse_comparable,2010,99,sex,SEX,1,1,男性,1,男性,男/男性 -> 1,性別/戶長性別/經濟戶長性別,manual補列,91/95 為受訪者性別；99 sex；103 gender=戶長性別；106/110 是經濟戶長性別，母體對象略有差異。,question_options 缺 sex 題選項；依 01-01 R 轉碼與前後年度補列
01-01-make-city-data.R,DEM001,基本資料,MALE,性別/戶長性別/經濟戶長性別,coarse_comparable,2010,99,sex,SEX,2,2,女性,0,女性,女/女性 -> 0，沿用 01-01 R 的 MALE 編碼,性別/戶長性別/經濟戶長性別,manual補列,91/95 為受訪者性別；99 sex；103 gender=戶長性別；106/110 是經濟戶長性別，母體對象略有差異。,question_options 缺 sex 題選項；依 01-01 R 轉碼與前後年度補列
01-01-make-city-data.R,DEM001,基本資料,MALE,性別/戶長性別/經濟戶長性別,coarse_comparable,2014,103,gender,GENDER,1,1,男性,1,男性,男/男性 -> 1,性別/戶長性別/經濟戶長性別,manual補列,91/95 為受訪者性別；99 sex；103 gender=戶長性別；106/110 是經濟戶長性別，母體對象略有差異。,question_options 缺 gender 題選項；依 01-01 R 轉碼與前後年度補列
01-01-make-city-data.R,DEM001,基本資料,MALE,性別/戶長性別/經濟戶長性別,coarse_comparable,2014,103,gender,GENDER,2,2,女性,0,女性,女/女性 -> 0，沿用 01-01 R 的 MALE 編碼,性別/戶長性別/經濟戶長性別,manual補列,91/95 為受訪者性別；99 sex；103 gender=戶長性別；106/110 是經濟戶長性別，母體對象略有差異。,question_options 缺 gender 題選項；依 01-01 R 轉碼與前後年度補列
