year,source_pdf,question_id,question_text,option_code,option_text,extraction_note
99,ques99.pdf,F1,請問您們家是不是符合地方政府列冊登記有案的低收入戶？,1,是,manual_visual_review_yes_no_2026-07-26
99,ques99.pdf,F1,請問您們家是不是符合地方政府列冊登記有案的低收入戶？,2,不是,manual_visual_review_yes_no_2026-07-26
99,ques99.pdf,F2,請問目前與您住在一起共同生活的【包括自己且不限原住民】有幾個人？ 人,,,no_coded_option_detected
99,ques99.pdf,F2-1,其中原住民有幾位？ 人,,,no_coded_option_detected
99,ques99.pdf,F2-1-1,6 歲以下的原 住民有幾位 ？ 人,,,no_coded_option_detected
99,ques99.pdf,F2-1-2,7-15 歲的原住民有幾位？ 人,,,no_coded_option_detected
99,ques99.pdf,F2-1-3,16-54 歲的原住民有幾位？ 人,,,no_coded_option_detected
99,ques99.pdf,F2-1-4,55-64 歲的原住民有幾位？ 人,,,no_coded_option_detected
99,ques99.pdf,F2-1-5,65 歲以上的原住民有幾位？ 人,,,no_coded_option_detected
99,ques99.pdf,F3,請問您的配偶屬於以下那種身分？,,,no_coded_option_detected
99,ques99.pdf,F3-1,請問您的先生/太太所屬的族別？,,,no_coded_option_detected
99,ques99.pdf,F4,請問您的先生/太太有沒有在工作？,,,no_coded_option_detected
99,ques99.pdf,F4-1,為了改善您的經濟狀況，請問您希不希望您的配偶也外出工作？,,,no_coded_option_detected
99,ques99.pdf,F4-2,請問您為什麼不希望您的配偶外出工作？(可複選),,,no_coded_option_detected
99,ques99.pdf,G1,請問您現在住的房子是屬於誰的？,,,no_coded_option_detected
99,ques99.pdf,G2,若房子為租賃者（G1 回答 2、3 者），請問您每個月的房屋租金是多少？,1,999 元及以下,
99,ques99.pdf,G2,若房子為租賃者（G1 回答 2、3 者），請問您每個月的房屋租金是多少？,2,"1,000-2,999 元",
99,ques99.pdf,G2,若房子為租賃者（G1 回答 2、3 者），請問您每個月的房屋租金是多少？,3,"3,000-4,999 元",
99,ques99.pdf,G2,若房子為租賃者（G1 回答 2、3 者），請問您每個月的房屋租金是多少？,4,"5,000-6,999 元",
99,ques99.pdf,G2,若房子為租賃者（G1 回答 2、3 者），請問您每個月的房屋租金是多少？,5,"7,000-9,999 元",
99,ques99.pdf,G2,若房子為租賃者（G1 回答 2、3 者），請問您每個月的房屋租金是多少？,6,"10,000-14,999 元",
99,ques99.pdf,G2,若房子為租賃者（G1 回答 2、3 者），請問您每個月的房屋租金是多少？,7,"15,000-19,999 元",
99,ques99.pdf,G2,若房子為租賃者（G1 回答 2、3 者），請問您每個月的房屋租金是多少？,8,"20,000 元及以上，請記錄 元",
99,ques99.pdf,G2,若房子為租賃者（G1 回答 2、3 者），請問您每個月的房屋租金是多少？,9,不需要支付租金,
99,ques99.pdf,G3,請問您們家目前有沒有房屋貸款？,,,no_coded_option_detected
99,ques99.pdf,G3-1,請問您家中目前的房屋貸款總共借（貸）了多少錢？,,,no_coded_option_detected
99,ques99.pdf,G3-2,請問您家中目前有沒有繼續在繳房屋貸款？,,,no_coded_option_detected
99,ques99.pdf,G3-3,請問您家中已經繳了幾年的房屋貸款？,,,no_coded_option_detected
99,ques99.pdf,G3-4,請問您家中已經有幾年沒有繳房屋貸款？,,,no_coded_option_detected
99,ques99.pdf,G3-5,請問您家中每個月房屋貸款要繳多少錢？【過去ㄧ年帄均每個月的繳款金額】,1,"4,999 元及以下",
99,ques99.pdf,G3-5,請問您家中每個月房屋貸款要繳多少錢？【過去ㄧ年帄均每個月的繳款金額】,2,"5,000-9,999 元",
99,ques99.pdf,G3-5,請問您家中每個月房屋貸款要繳多少錢？【過去ㄧ年帄均每個月的繳款金額】,3,"10,000-14,999 元",
99,ques99.pdf,G3-5,請問您家中每個月房屋貸款要繳多少錢？【過去ㄧ年帄均每個月的繳款金額】,4,"15,000-19,999 元",
99,ques99.pdf,G3-5,請問您家中每個月房屋貸款要繳多少錢？【過去ㄧ年帄均每個月的繳款金額】,5,"20,000-24,999 元",
99,ques99.pdf,G3-5,請問您家中每個月房屋貸款要繳多少錢？【過去ㄧ年帄均每個月的繳款金額】,6,"25,000-29,999 元",
99,ques99.pdf,G3-5,請問您家中每個月房屋貸款要繳多少錢？【過去ㄧ年帄均每個月的繳款金額】,7,"30,000-39,999 元",
99,ques99.pdf,G3-5,請問您家中每個月房屋貸款要繳多少錢？【過去ㄧ年帄均每個月的繳款金額】,8,"40,000-49,999 元",
99,ques99.pdf,G3-5,請問您家中每個月房屋貸款要繳多少錢？【過去ㄧ年帄均每個月的繳款金額】,9,"50,000-59,999 元",
99,ques99.pdf,G3-5,請問您家中每個月房屋貸款要繳多少錢？【過去ㄧ年帄均每個月的繳款金額】,10,"60,000-69,999 元",
99,ques99.pdf,G3-5,請問您家中每個月房屋貸款要繳多少錢？【過去ㄧ年帄均每個月的繳款金額】,11,"70,000 元及以上，請記錄 元",
99,ques99.pdf,G4,請問您個人有沒有信用貸款、車貸、信用卡、現金卡等的貸款呢？,,,no_coded_option_detected
99,ques99.pdf,G4-1,請問您個人的信用貸款、車貸、信用卡、現金卡總共借了多少錢？,,,no_coded_option_detected
99,ques99.pdf,G4-2,請問您個人每個月要繳納的信用貸款、車貸、信用卡、現金卡等的貸款金額，總共是多,1,"4,999 元及以下",
99,ques99.pdf,G4-2,請問您個人每個月要繳納的信用貸款、車貸、信用卡、現金卡等的貸款金額，總共是多,2,"5,000-9,999 元",
99,ques99.pdf,G4-2,請問您個人每個月要繳納的信用貸款、車貸、信用卡、現金卡等的貸款金額，總共是多,3,"10,000-14,999 元",
99,ques99.pdf,G4-2,請問您個人每個月要繳納的信用貸款、車貸、信用卡、現金卡等的貸款金額，總共是多,4,"15,000-19,999 元",
99,ques99.pdf,G4-2,請問您個人每個月要繳納的信用貸款、車貸、信用卡、現金卡等的貸款金額，總共是多,5,"20,000-24,999 元",
99,ques99.pdf,G4-2,請問您個人每個月要繳納的信用貸款、車貸、信用卡、現金卡等的貸款金額，總共是多,6,"25,000-29,999 元",
99,ques99.pdf,G4-2,請問您個人每個月要繳納的信用貸款、車貸、信用卡、現金卡等的貸款金額，總共是多,7,"30,000-39,999 元",
99,ques99.pdf,G4-2,請問您個人每個月要繳納的信用貸款、車貸、信用卡、現金卡等的貸款金額，總共是多,8,"40,000-49,999 元",
99,ques99.pdf,G4-2,請問您個人每個月要繳納的信用貸款、車貸、信用卡、現金卡等的貸款金額，總共是多,9,"50,000-59,999 元",
99,ques99.pdf,G4-2,請問您個人每個月要繳納的信用貸款、車貸、信用卡、現金卡等的貸款金額，總共是多,10,"60,000-69,999 元",
99,ques99.pdf,G4-2,請問您個人每個月要繳納的信用貸款、車貸、信用卡、現金卡等的貸款金額，總共是多,11,"70,000 元及以上，請記錄 元",
99,ques99.pdf,G5,請問您個人有沒有申請創業貸款？,,,no_coded_option_detected
99,ques99.pdf,G5-1,請問您個人的創業貸款總共借了多少錢？,,,no_coded_option_detected
99,ques99.pdf,G5-2,請問您個人每個月要繳納的創業貸款總共是多少？【過去ㄧ年帄均每個月的金額】,1,"4,999 元及以下",
99,ques99.pdf,G5-2,請問您個人每個月要繳納的創業貸款總共是多少？【過去ㄧ年帄均每個月的金額】,2,"5,000-9,999 元",
99,ques99.pdf,G5-2,請問您個人每個月要繳納的創業貸款總共是多少？【過去ㄧ年帄均每個月的金額】,3,"10,000-14,999 元",
99,ques99.pdf,G5-2,請問您個人每個月要繳納的創業貸款總共是多少？【過去ㄧ年帄均每個月的金額】,4,"15,000-19,999 元",
99,ques99.pdf,G5-2,請問您個人每個月要繳納的創業貸款總共是多少？【過去ㄧ年帄均每個月的金額】,5,"20,000-24,999 元",
99,ques99.pdf,G5-2,請問您個人每個月要繳納的創業貸款總共是多少？【過去ㄧ年帄均每個月的金額】,6,"25,000-29,999 元",
99,ques99.pdf,G5-2,請問您個人每個月要繳納的創業貸款總共是多少？【過去ㄧ年帄均每個月的金額】,7,"30,000-39,999 元",
99,ques99.pdf,G5-2,請問您個人每個月要繳納的創業貸款總共是多少？【過去ㄧ年帄均每個月的金額】,8,"40,000-49,999 元",
99,ques99.pdf,G5-2,請問您個人每個月要繳納的創業貸款總共是多少？【過去ㄧ年帄均每個月的金額】,9,"50,000-59,999 元",
99,ques99.pdf,G5-2,請問您個人每個月要繳納的創業貸款總共是多少？【過去ㄧ年帄均每個月的金額】,10,"60,000-69,999 元",
99,ques99.pdf,G5-2,請問您個人每個月要繳納的創業貸款總共是多少？【過去ㄧ年帄均每個月的金額】,11,"70,000 元及以上，請記錄 元",
99,ques99.pdf,H1,請問您個人每個月「工作薪水、兼差薪水、加班費、退休金，以及從事農林漁業或自己做生意,1,"9,999 元及以下",
99,ques99.pdf,H1,請問您個人每個月「工作薪水、兼差薪水、加班費、退休金，以及從事農林漁業或自己做生意,2,"10,000-19,999 元",
