check_id,status,observed,expected,detail
all_survey_years_present,pass,2002;2006;2010;2014;2017;2021,2002;2006;2010;2014;2017;2021,
id_year_unique,pass,0,0,
income_2010_family_other_override,pass,I6:i7:ok_override,I6:i7:ok_override,
specified_income_questions_resolve,pass,0,0,
care_station_outputs_present,pass,TRUE,TRUE,
care_station_merge_preserves_respondents,pass,40078:40078,same row count and unique ID-year,
care_station_panel_snapshot_reconciles,pass,525:122:TRUE,525:122:TRUE,
analysis_sample_exclusion_matches_race,pass,2014;2017;2021,2014;2017;2021,
family_counts_valid_all_years,pass,2002:13113:13113;2006:6013:6013;2010:5027:5027;2014:5214:5214;2017:5302:5302;2021:5409:5409,all six years satisfy N_INDI <= N_FAMILY wherever both values exist,
respondent_unit_present,pass,economic_household_head;household_member;phone_respondent,six years non-missing,
money_labels_2002_parsed,pass,0,0,All observed 2002 labels containing 萬 must parse.
zero_labels_are_exact_zero,pass,0,0,
coverage_2021_resolved,pass,0,0,
categorical_unmapped_rate,pass,,each observed categorical variable-year has unmapped rate < 5%,
summary_covers_all_integrated_vars,pass,,all analysis variables and integrated income/expenditure fields appear in coverage_summary.csv,
structural_eligibility_applied_to_coverage,pass,coverage_identity=TRUE; recoded_identity=TRUE; structural_rows=TRUE,"2002 split-form, 2014 i1 and F14 rules applied; valid + response missing + structural missing = eligible",
unchanged_expenditure_matches_baseline,pass,,"2014/2017/2021 non-total expenditure valid_n, mean and median equal the archived pre-rerun baseline",
numeric_variable_has_variation,pass,,all eight 2010 two-stage expenditure variables are present with sd > 0 and max > 0,
derived_expenditure_2010_not_old_six_component_mean,pass,31890.3099,not 24820.7 (+/- 0.1),
two_stage_indicator_amount_consistent,pass,0,0 conflicts,
two_stage_indicator_label_direction,pass,2010:EXP_CARE:TRUE:FALSE;2010:EXP_CLEANING:TRUE:FALSE;2010:EXP_CLOTHING:TRUE:FALSE;2010:EXP_EDU_BOOKS_COMBINED:TRUE:FALSE;2010:EXP_FURNITURE:TRUE:FALSE;2010:EXP_LOAN_INTEREST:TRUE:FALSE;2010:EXP_OTHER:TRUE:FALSE;2010:EXP_TRAVEL:TRUE:FALSE;2014:EXP_BOOKS:TRUE:FALSE;2014:EXP_CARE:TRUE:FALSE;2014:EXP_CLEANING:TRUE:FALSE;2014:EXP_CLOTHING:TRUE:FALSE;2014:EXP_DINING_LODGING:TRUE:FALSE;2014:EXP_EDU_TUITION:TRUE:FALSE;2014:EXP_FURNITURE:TRUE:FALSE;2014:EXP_LOAN_INTEREST:TRUE:FALSE;2014:EXP_OTHER:TRUE:FALSE;2014:EXP_TRAVEL:TRUE:FALSE;2017:EXP_BOOKS:TRUE:FALSE;2017:EXP_CARE:TRUE:FALSE;2017:EXP_CLEANING:TRUE:FALSE;2017:EXP_CLOTHING:FALSE:TRUE;2017:EXP_DINING_LODGING:TRUE:FALSE;2017:EXP_EDU_TUITION:TRUE:FALSE;2017:EXP_FURNITURE:FALSE:TRUE;2017:EXP_LOAN_INTEREST:TRUE:FALSE;2017:EXP_OTHER:FALSE:TRUE;2017:EXP_TRAVEL:TRUE:FALSE;2021:EXP_BOOKS:TRUE:FALSE;2021:EXP_CARE:TRUE:FALSE;2021:EXP_CLEANING:TRUE:FALSE;2021:EXP_CLOTHING:TRUE:FALSE;2021:EXP_DINING_LODGING:TRUE:FALSE;2021:EXP_EDU_TUITION:TRUE:FALSE;2021:EXP_FURNITURE:TRUE:FALSE;2021:EXP_LOAN_INTEREST:TRUE:FALSE;2021:EXP_OTHER:TRUE:FALSE;2021:EXP_TRAVEL:TRUE:FALSE,each indicator has an explicit 沒有/無 label or is documented as a single-code checkbox,
two_stage_indicator_2021_zero_reconciliation,pass,33921,33921,
rent_valid_rate_by_year,pass,2002:1;2006:1;2010:1;2014:1;2017:1;2021:1,> 0.90 each year,
age_group_harmonization_valid,pass,2002:1:age_group;2006:1:age_group;2010:0.9998:age_group;2014:1:age_group;2017:1:age_group;2021:1:age_group,"AGE_GROUP >95%, harmonized non-empty, measure type age_group, AGE_RAW absent",
family_indigenous_age_counts_valid,pass,2002:0;2006:0;2010:0;2014:0;2017:0;2021:0,2006-2021 cell sums match N_INDI; 2021 55+/65+ benchmarks match,
reported_expenditure_total_only_2002,pass,2002:13097:27289.46,2002 only; valid_n=13097; mean approximately 27289; no duplicate original values,
family_income_2014_common_missingness_resolved,pass,valid_n=2952; missing_n=1619,one documented common missingness pattern with valid observations,2014 household-income compnents share the same questionnaire-based missingness pattern; missing valuesremain NA.
family_income_2014_eligible_records_included,pass,FALSE:1869;TRUE:3345,TRUE:3345;FALSE:1869,I1有的3345筆納入；I1沒有且跳答I9的1869筆保留為結構性不適用，不補零。
