variable,91_1_label,91_1_type,91_1_present,91_2_label,91_2_type,91_2_present,95_label,95_type,95_present,99_label,99_type,99_present,103_label,103_type,103_present,106_label,106_type,106_present,110_label,110_type,110_present,years_count
level,行政區域分層,haven_labelled,1,行政區域分層,haven_labelled,1,行政區域分層,haven_labelled,1,層別,haven_labelled,1,層別,haven_labelled,1,層別,haven_labelled,1,level,character,1,7
id,樣本編號,numeric,1,樣本編號,numeric,1,流水編號,numeric,1,流水編,numeric,1,,,0,,,0,id,integer,1,5
g2,,,0,,,0,,,0,G2.若房子為租賃者（G1回答2、3者），請問您每個月的房屋租金是多少？,haven_labelled,1,G2.請問您每個月的房屋租金是多少?[回答完跳答G6],haven_labelled,1,G2.經濟戶長今年幾歲?,haven_labelled,1,承上題(L1)，請問這些有固定收入的家人中，具有原住民身分者有幾位？ □(1)有具原住民身分，共______________位 □(2)沒有原住民身分,character,1,4
g5,,,0,,,0,,,0,G5.請問您個人有沒有申請創業貸款？,haven_labelled,1,G5.請問您現在住的房子當初購買/搭建共花了多少錢?,haven_labelled,1,G5.經濟戶長所屬的族別?,haven_labelled,1,"包含經濟戶長本人，全家每個月接受「紅白包禮金、私人發給救濟金/慰問金/獎助學金、向私人 借住房屋省下的房租、國外禮金/贈款」總收入是多少？【110年平均每個月的金額】 □(1)未滿1,000元 □(2)1,000 元-未滿2,000元 □(3)2,000 元-未滿3,000元 □(4)3,000 元-未滿4,000元 □(5)4,000 元-未滿5,000元 □(6)5,000 元-未滿6,000",character,1,4
h5,,,0,,,0,,,0,H5.除了以上這些收入以外，請問您個人每個月「其他」收入總共是多少？,haven_labelled,1,H5.請問您個人每個月的「房屋、土地出租租金」收入總共是多少?,haven_labelled,1,H5.您現在住的房子如果出租的話，租金會是多少?__元,numeric,1,"請問您全家每個月用在支付「抽煙、喝酒、吃檳榔等」的費用是多少？【110年平均每個月的金 額】 □(1)未滿500元 □(2)500元-未滿1,000 元 □(3)1,000 元-未滿2,000元 □(4)2,000 元-未滿3,000元 □(5)3,000 元-未滿4,000元 □(6)4,000 元-未滿5,000元 □(7)5,000 元-未滿7,000元 □(8)7,000 元-未滿10,0",character,1,4
h4,,,0,,,0,,,0,H4.請問您個人每個月的「房屋、土地出租租金」收入總共是多少？,haven_labelled,1,H4.請問您個人每個月的「存款利息、跟會利息、股票利息、各種投資利息」收入總共是多少?,haven_labelled,1,H4.您現在住的房子樓地板面積是多少?__坪,numeric,1,"請問您全家每個月用在支付「看病就醫、繳醫療保險費、購買醫療用品/設備等」的費用是多 少？【110年平均每個月的金額】 □(1)未滿500元 □(2)500元-未滿1,000 元 □(3)1,000 元-未滿2,000元 □(4)2,000 元-未滿3,000元 □(5)3,000 元-未滿4,000元 □(6)4,000 元-未滿5,000元 □(7)5,000 元-未滿7,000元 □(8)7,",character,1,4
k1_1,,,0,,,0,,,0,K1.請問您個人目前有從事以下哪些投資嗎？(可複選),haven_labelled,1,K1.請問您個人目前有從事以下哪些投資嗎?(可複選)投資一,haven_labelled,1,K1-1.經濟戶長每個月用於投資的金額是多少?,haven_labelled,1,請問您或您的家人是跨性別者或同性婚姻家庭？(可複選) □(1)是，跨性別者跳答L1 □(2)是，同性婚姻家庭跳答L1 □(3)不是 □(4)不知道,character,1,4
g1,,,0,,,0,,,0,G1.請問您現在住的房子是屬於誰的？,haven_labelled,1,G1.請問您現在住的房子是屬於誰的?,haven_labelled,1,G1.經濟戶長性別?,haven_labelled,1,除了經濟戶長本人以外，家裡有沒有「其他家人」有固定收入？ □(1)有，共______________位 □(2)沒有跳答G3,character,1,4
g3,,,0,,,0,,,0,G3.請問您們家目前有沒有房屋貸款？,haven_labelled,1,G3.請問您現在住的房子是什麼時候購買/搭建的?,haven_labelled,1,G3.經濟戶長教育程度?,haven_labelled,1,"包含經濟戶長本人，全家每個月的「工作薪水、兼差薪水、加班費、退休金，或是從事農林漁牧 業或自己做生意等」總收入是多少？【110年平均每個月的金額】 □(1)未滿10,000元 □(2)10,000元-未滿20,000元 □(3)20,000元-未滿30,000元 □(4)30,000元-未滿40,000元 □(5)40,000元-未滿50,000元 □(6)50,000元-未滿60,000元 □(",character,1,4
h3,,,0,,,0,,,0,H3.請問您個人每個月的「利息、股票買賣、跟會標會、各種投資」收入總共是多少？【過去,haven_labelled,1,H3.請問您個人每個月「紅白包禮金、私人發給救濟金/慰問金、向私人借住房屋省下的房租」,haven_labelled,1,H3.您現在住的房子是什麼時候購買/搭建的?民國__年,numeric,1,"請問您全家每個月用在支付「上下班上下學通勤、搭乘交通工具、汽機車保養/油錢、汽機車保 險、買手機/市內電話(含電信費)、買車等」的費用是多少？【110年平均每個月的金額】 □(1)未滿1,000元 □(2)1,000 元-未滿2,000元 □(3)2,000 元-未滿3,000元 □(4)3,000 元-未滿4,000元 □(5)4,000 元-未滿5,000元 □(6)5,000 元-未滿7,0",character,1,4
