variable,label,type,source
id,樣本編號,numeric,91_2
q1,1.性別,haven_labelled,91_2
q2,2.請問您的年齡,haven_labelled,91_2
q3,3.請問您的教育程度?,haven_labelled,91_2
q4,4.請問您所屬的族別?,haven_labelled,91_2
q5,5.請問您的婚姻狀況是?,haven_labelled,91_2
q6,6.請問您的配偶是不是原住民?,haven_labelled,91_2
q6a,6-1.請問他(她)所屬的族別?,haven_labelled,91_2
q7a,7.請問目前與您住在一起共同生活的(包括您自己)總共有幾個人?,haven_labelled,91_2
q7b,7.其中原住民有幾位?,haven_labelled,91_2
q7c,7.(1)年齡在6歲及以下的原住民有幾位,haven_labelled,91_2
q7d,7.(2)年齡在7歲~12歲的原住民有幾位,haven_labelled,91_2
q7e,7.(3)年齡在13歲~18歲的原住民有幾位,haven_labelled,91_2
q7f,7.(4)年齡在60歲及以上的原住民有幾位,haven_labelled,91_2
q8,8.請問您的職業是什麼?(以12月15日~12月21日為準),haven_labelled,91_2
q9,9.請問您的行業是什麼?(以12月15日~12月21日為準),haven_labelled,91_2
q10,10.請問您主要工作的身分是?,haven_labelled,91_2
q11,11.請問您家中有幾部自用汽車?,haven_labelled,91_2
q12,12.請問您家中有幾部自用機車?,haven_labelled,91_2
q13,13.請問您家中有幾部冷(暖)氣機?,haven_labelled,91_2
q14,14.請問您家中有幾部彩色電視機?,haven_labelled,91_2
q15,15.請問您家中有幾部家用電腦?,haven_labelled,91_2
q16,16.請問您住宅的建築結構是?,haven_labelled,91_2
q17,17.請問您住宅的面積有多少坪(建坪)?,haven_labelled,91_2
q18,18.請問您的住宅是自有、租賃、配住、借用?,haven_labelled,91_2
q19,19.請問您每個月的租金是多少?,haven_labelled,91_2
q20,20.請問您有沒有房屋貸款?,haven_labelled,91_2
q20a,20-1.請問您每個月房屋貸款本金和利息總共是多少?,haven_labelled,91_2
q21,21.請問您全家每個月平均總共收入是多少(所有人)?,haven_labelled,91_2
q22a,22-1.請問全家每個月平均收入中，工作收入是多少?,haven_labelled,91_2
q22b,22-2.請問全家每個月平均收入中，政府補助及津貼收入是多少?,haven_labelled,91_2
q22c,22-3.請問全家每個月平均收入中，其他收入是多少?(利息、租金、民間團體補助、退休俸、兒,haven_labelled,91_2
q23,23.請問您每個月家庭平均支出是多少?,haven_labelled,91_2
q23a,23-1.請問每個月家庭平均支出中，食品消費是多少?(日常生活吃的部分，但不包含酒、菸、檳,haven_labelled,91_2
q23b,23-2.請問每個月家庭平均支出中，酒、菸、檳榔等消費是多少?,haven_labelled,91_2
q23c,23-3.請問每個月家庭平均支出中，醫療保健費用是多少?(包括看病的掛號費或藥費及個人買的,haven_labelled,91_2
q23d,23-4.請問每個月家庭平均支出中，運輸交通與通訊花費是多少?(油錢、電話費、公車費、汽機,haven_labelled,91_2
q23e,23-5.請問每個月家庭平均支出中，教育書報雜誌文具花費多少?,haven_labelled,91_2
q23f,23-6.請問每個月家庭平均支出中，旅遊娛樂消遣支出是多少?,haven_labelled,91_2
q24,24.請問您的配偶有沒有在工作?,haven_labelled,91_2
q25,25.為了改善您的經濟狀況，請問您希不希望您的配偶也外出工作?,haven_labelled,91_2
q25a,25-1.請問您為什麼不希望您的配偶外出工作?,haven_labelled,91_2
q26,26.為了改善您的經濟狀況，請問您或您的家人需不需要政府幫忙?,haven_labelled,91_2
q26a,26-1.您或您的家人最需要政府幫忙的事項是：,haven_labelled,91_2
q27,27.假如為了改善原住民經濟狀況，政府提供一筆15年年利率固定3%的低利貸款，前三年僅繳利,haven_labelled,91_2
q27a,27-1.請問您會貸多少款項?(萬元),haven_labelled,91_2
q27b,27-2.請問您不會申請貸款的原因?,haven_labelled,91_2
q28,受訪身分,haven_labelled,91_2
level,行政區域分層,haven_labelled,91_2
county,縣市鄉鎮市區,haven_labelled,91_2
w_b,母體權數,numeric,91_2
w,樣本權數,numeric,91_2
b01,訪員編號,numeric,91_2
