year,source_pdf,question_id,question_text,option_code,option_text,extraction_note
95,ques95.pdf,S1,請問您及您同住的家人中，包含您自己，有沒有 15歲以上具有中華民國國籍,1,有【繼續訪問】,
95,ques95.pdf,S1,請問您及您同住的家人中，包含您自己，有沒有 15歲以上具有中華民國國籍,97,沒有（非常感謝您接受我們的訪問，祝您有個愉快的夜晚）【結束訪問】,
95,ques95.pdf,S2,請問您是不是家中主要經濟來源者或主要負責家計的人？還是次要負責家計,1,主要負責家計,
95,ques95.pdf,S2,請問您是不是家中主要經濟來源者或主要負責家計的人？還是次要負責家計,2,次要負責家計,
95,ques95.pdf,S2,請問您是不是家中主要經濟來源者或主要負責家計的人？還是次要負責家計,3,都不是,
95,ques95.pdf,S3,由於您這支電話是由電腦自動選擇的，請問您這支電話是在臺灣地區的哪一,1,臺北縣,
95,ques95.pdf,S3,由於您這支電話是由電腦自動選擇的，請問您這支電話是在臺灣地區的哪一,2,宜蘭縣,
95,ques95.pdf,S3,由於您這支電話是由電腦自動選擇的，請問您這支電話是在臺灣地區的哪一,3,桃園縣,
95,ques95.pdf,S3,由於您這支電話是由電腦自動選擇的，請問您這支電話是在臺灣地區的哪一,4,新竹縣,
95,ques95.pdf,S3,由於您這支電話是由電腦自動選擇的，請問您這支電話是在臺灣地區的哪一,5,苗栗縣,
95,ques95.pdf,S3,由於您這支電話是由電腦自動選擇的，請問您這支電話是在臺灣地區的哪一,6,臺中縣,
95,ques95.pdf,S3,由於您這支電話是由電腦自動選擇的，請問您這支電話是在臺灣地區的哪一,7,彰化縣,
95,ques95.pdf,S3,由於您這支電話是由電腦自動選擇的，請問您這支電話是在臺灣地區的哪一,8,南投縣,
95,ques95.pdf,S3,由於您這支電話是由電腦自動選擇的，請問您這支電話是在臺灣地區的哪一,9,雲林縣,
95,ques95.pdf,S3,由於您這支電話是由電腦自動選擇的，請問您這支電話是在臺灣地區的哪一,10,嘉義縣,
95,ques95.pdf,S3,由於您這支電話是由電腦自動選擇的，請問您這支電話是在臺灣地區的哪一,11,臺南縣,
95,ques95.pdf,S3,由於您這支電話是由電腦自動選擇的，請問您這支電話是在臺灣地區的哪一,12,高雄縣,
95,ques95.pdf,S3,由於您這支電話是由電腦自動選擇的，請問您這支電話是在臺灣地區的哪一,13,屏東縣,
95,ques95.pdf,S3,由於您這支電話是由電腦自動選擇的，請問您這支電話是在臺灣地區的哪一,14,臺東縣,
95,ques95.pdf,S3,由於您這支電話是由電腦自動選擇的，請問您這支電話是在臺灣地區的哪一,15,花蓮縣,
95,ques95.pdf,S3,由於您這支電話是由電腦自動選擇的，請問您這支電話是在臺灣地區的哪一,16,澎湖縣,
